"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 10, 2019","0.9998","1.0000","1.0018","0.9996","20.95M","-0.02%"
"Dec 11, 2019","1.0008","0.9998","1.0014","0.9997","17.96M","0.10%"
"Dec 12, 2019","1.0010","1.0008","1.0020","1.0005","16.51M","0.02%"
"Dec 13, 2019","1.0006","1.0010","1.0022","0.9999","14.56M","-0.05%"
"Dec 14, 2019","1.0006","1.0006","1.0015","1.0002","17.81M","0.00%"
"Dec 15, 2019","1.0014","1.0006","1.0018","1.0002","15.28M","0.08%"
"Dec 16, 2019","1.0021","1.0014","1.0027","1.0006","16.24M","0.07%"
"Dec 17, 2019","1.0013","1.0021","1.0026","1.0007","20.57M","-0.07%"
"Dec 18, 2019","0.9989","1.0013","1.0017","0.9985","26.26M","-0.24%"
"Dec 19, 2019","1.0005","0.9989","1.0014","0.9984","23.62M","0.16%"
"Dec 20, 2019","0.9998","1.0005","1.0012","0.9995","16.73M","-0.07%"
"Dec 21, 2019","0.9996","0.9998","1.0001","0.9990","18.24M","-0.02%"
"Dec 22, 2019","0.9989","0.9996","1.0002","0.9989","17.20M","-0.07%"
"Dec 23, 2019","1.0005","0.9989","1.0007","0.9982","21.45M","0.16%"
"Dec 24, 2019","1.0009","1.0005","1.0023","1.0000","19.45M","0.04%"
"Dec 25, 2019","1.0011","1.0009","1.0020","0.9993","10.08M","0.02%"
"Dec 26, 2019","1.0022","1.0011","1.0024","1.0009","9.32M","0.11%"
"Dec 27, 2019","1.0016","1.0022","1.0043","1.0012","11.20M","-0.06%"
"Dec 28, 2019","1.0019","1.0016","1.0032","1.0012","10.66M","0.03%"
"Dec 29, 2019","1.0011","1.0019","1.0030","0.9998","15.79M","-0.08%"
"Dec 30, 2019","1.0032","1.0011","1.0036","1.0011","14.54M","0.21%"
"Dec 31, 2019","1.0037","1.0032","1.0075","1.0028","12.12M","0.05%"
"Jan 01, 2020","1.0035","1.0037","1.0042","1.0025","7.29M","-0.03%"
"Jan 02, 2020","1.0027","1.0035","1.0046","1.0023","10.65M","-0.08%"
"Jan 03, 2020","1.0011","1.0027","1.0036","1.0005","11.58M","-0.16%"
"Jan 04, 2020","1.0009","1.0011","1.0022","1.0006","6.67M","-0.02%"
"Jan 05, 2020","1.0010","1.0009","1.0017","0.9985","7.98M","0.01%"
"Jan 06, 2020","0.9999","1.0010","1.0015","0.9998","10.59M","-0.11%"
"Jan 07, 2020","0.9991","0.9999","1.0017","0.9980","14.44M","-0.08%"
"Jan 08, 2020","1.0010","0.9991","1.0015","0.9985","16.18M","0.19%"
"Jan 09, 2020","1.0007","1.0010","1.0012","0.9997","9.75M","-0.03%"
"Jan 10, 2020","1.0008","1.0007","1.0020","0.9999","19.75M","0.01%"
"Jan 11, 2020","1.0005","1.0008","1.0013","0.9999","15.89M","-0.03%"
"Jan 12, 2020","1.0004","1.0005","1.0013","0.9996","16.87M","-0.02%"
"Jan 13, 2020","1.0007","1.0004","1.0021","1.0000","22.32M","0.04%"
"Jan 14, 2020","1.0000","1.0007","1.0029","0.9991","31.75M","-0.08%"
"Jan 15, 2020","1.0013","1.0000","1.0024","0.9997","19.44M","0.14%"
"Jan 16, 2020","1.0013","1.0013","1.0033","1.0007","25.58M","0.00%"
"Jan 17, 2020","1.0018","1.0014","1.0027","1.0005","26.60M","0.05%"
"Jan 18, 2020","1.0008","1.0018","1.0020","1.0002","23.89M","-0.10%"
"Jan 19, 2020","1.0007","1.0008","1.0034","1.0002","25.83M","-0.01%"
"Jan 20, 2020","1.0015","1.0007","1.0024","1.0006","20.24M","0.08%"
"Jan 21, 2020","1.0016","1.0015","1.0029","1.0012","19.08M","0.01%"
"Jan 22, 2020","1.0030","1.0016","1.0039","1.0012","14.24M","0.14%"
"Jan 23, 2020","1.0026","1.0030","1.0042","1.0016","17.87M","-0.04%"
"Jan 24, 2020","1.0020","1.0026","1.0030","1.0012","15.51M","-0.06%"
"Jan 25, 2020","1.0024","1.0020","1.0048","1.0017","14.98M","0.04%"
"Jan 26, 2020","1.0021","1.0024","1.0033","1.0013","16.20M","-0.03%"
"Jan 27, 2020","1.0018","1.0021","1.0034","1.0012","19.26M","-0.03%"
"Jan 28, 2020","0.9997","1.0018","1.0028","0.9995","31.67M","-0.20%"
"Jan 29, 2020","1.0018","0.9997","1.0028","0.9997","21.20M","0.20%"
"Jan 30, 2020","1.0013","1.0018","1.0031","1.0007","21.88M","-0.05%"
